Week Ending Date,State,State Abbreviation,Median Number,Lower Bound,Upper Bound,Outcome,MMWR Year,MMWR Week,Rolling 4-Week Mean,Rolling 4-Week Lower,Rolling 4-Week Upper,AnalysisDate
01/02/2016,Alabama,AL,,,,Drug Overdose,2015,52,,,,2022-02-04
01/09/2016,Alabama,AL,10.24,,14.56,Drug Overdose,2016,1,,,,2022-02-04
01/16/2016,Alabama,AL,10.45,,14.84,Drug Overdose,2016,2,,,,2022-02-04
01/23/2016,Alabama,AL,12.07,,16.99,Drug Overdose,2016,3,,,13.21,2022-02-04
01/30/2016,Alabama,AL,12.58,,17.66,Drug Overdose,2016,4,11.34,,16.02,2022-02-04
02/06/2016,Alabama,AL,13.76,,19.20,Drug Overdose,2016,5,12.21,,17.18,2022-02-04
02/13/2016,Alabama,AL,17.11,12.45,23.52,Drug Overdose,2016,6,13.88,,19.34,2022-02-04
02/20/2016,Alabama,AL,14.44,10.38,20.09,Drug Overdose,2016,7,14.47,10.41,20.12,2022-02-04
02/27/2016,Alabama,AL,13.39,,18.73,Drug Overdose,2016,8,14.67,10.57,20.38,2022-02-04
03/05/2016,Alabama,AL,14.41,10.36,20.04,Drug Overdose,2016,9,14.84,10.69,20.59,2022-02-04
03/12/2016,Alabama,AL,13.69,,19.11,Drug Overdose,2016,10,13.98,10.03,19.49,2022-02-04
03/19/2016,Alabama,AL,12.36,,17.37,Drug Overdose,2016,11,13.46,,18.81,2022-02-04
03/26/2016,Alabama,AL,15.63,11.30,21.63,Drug Overdose,2016,12,14.02,10.06,19.54,2022-02-04
04/02/2016,Alabama,AL,11.23,,15.88,Drug Overdose,2016,13,13.23,,18.49,2022-02-04
04/09/2016,Alabama,AL,16.80,12.20,23.12,Drug Overdose,2016,14,14.00,10.06,19.50,2022-02-04
04/16/2016,Alabama,AL,10.69,,15.16,Drug Overdose,2016,15,13.59,,18.95,2022-02-04
04/23/2016,Alabama,AL,12.96,,18.16,Drug Overdose,2016,16,12.92,,18.08,2022-02-04
04/30/2016,Alabama,AL,14.77,10.64,20.52,Drug Overdose,2016,17,13.81,,19.24,2022-02-04
05/07/2016,Alabama,AL,13.77,,19.22,Drug Overdose,2016,18,13.05,,18.27,2022-02-04
05/14/2016,Alabama,AL,13.99,10.04,19.50,Drug Overdose,2016,19,13.87,,19.35,2022-02-04
05/21/2016,Alabama,AL,12.42,,17.45,Drug Overdose,2016,20,13.74,,19.17,2022-02-04
05/28/2016,Alabama,AL,13.29,,18.59,Drug Overdose,2016,21,13.37,,18.69,2022-02-04
06/04/2016,Alabama,AL,13.70,,19.13,Drug Overdose,2016,22,13.35,,18.67,2022-02-04
06/11/2016,Alabama,AL,15.74,11.38,21.76,Drug Overdose,2016,23,13.79,,19.23,2022-02-04
06/18/2016,Alabama,AL,14.81,10.67,20.57,Drug Overdose,2016,24,14.39,10.34,20.01,2022-02-04
06/25/2016,Alabama,AL,18.17,13.28,24.88,Drug Overdose,2016,25,15.61,11.29,21.58,2022-02-04
07/02/2016,Alabama,AL,17.17,12.49,23.60,Drug Overdose,2016,26,16.47,11.95,22.70,2022-02-04
07/09/2016,Alabama,AL,15.78,11.42,21.82,Drug Overdose,2016,27,16.48,11.96,22.72,2022-02-04
07/16/2016,Alabama,AL,16.03,11.60,22.14,Drug Overdose,2016,28,16.79,12.20,23.11,2022-02-04
07/23/2016,Alabama,AL,13.20,,18.47,Drug Overdose,2016,29,15.54,11.24,21.51,2022-02-04
07/30/2016,Alabama,AL,13.80,,19.26,Drug Overdose,2016,30,14.70,10.59,20.42,2022-02-04
08/06/2016,Alabama,AL,13.63,,19.04,Drug Overdose,2016,31,14.16,10.17,19.73,2022-02-04
08/13/2016,Alabama,AL,12.50,,17.56,Drug Overdose,2016,32,13.28,,18.58,2022-02-04
